system,EM,F1,BERTScore_P,BERTScore_R,BERTScore_F1,RAGAS_Faithfulness,RAGAS_AnswerRelevancy
Baseline RAG,0.16666666666666666,0.20536195755351494,0.8815884590148926,0.8888411521911621,0.8846553564071655,0.21666666666666667,0.4210880670160846
Enhanced RAG,0.18,0.26203289518066863,0.8887077569961548,0.8984701633453369,0.8931427001953125,0.1519047619047619,0.43501866643169296
Agentic RAG,0.37333333333333335,0.45036507936507936,0.9273447394371033,0.9187626242637634,0.9227001667022705,0.36333333333333334,0.5122419985838175
